agency_cd,site_no,datetime,tz_cd,depth,cd
USGS,03062445,2015-10-06 00:00,EDT,9.55,P
USGS,03062445,2015-10-06 00:15,EDT,9.53,P
USGS,03062445,2015-10-06 00:30,EDT,9.51,P
USGS,03062445,2015-10-06 00:45,EDT,9.49,P
USGS,03062445,2015-10-06 01:00,EDT,9.47,P
USGS,03062445,2015-10-06 01:15,EDT,9.45,P
USGS,03062445,2015-10-06 01:30,EDT,9.43,P
USGS,03062445,2015-10-06 01:45,EDT,9.41,P
USGS,03062445,2015-10-06 02:00,EDT,9.41,P
USGS,03062445,2015-10-06 02:15,EDT,9.37,P
USGS,03062445,2015-10-06 02:30,EDT,9.37,P
USGS,03062445,2015-10-06 02:45,EDT,9.35,P
USGS,03062445,2015-10-06 03:00,EDT,9.32,P
USGS,03062445,2015-10-06 03:15,EDT,9.31,P
USGS,03062445,2015-10-06 03:30,EDT,9.30,P
USGS,03062445,2015-10-06 03:45,EDT,9.27,P
USGS,03062445,2015-10-06 04:00,EDT,9.27,P
USGS,03062445,2015-10-06 04:15,EDT,9.25,P
USGS,03062445,2015-10-06 04:30,EDT,9.23,P
USGS,03062445,2015-10-06 04:45,EDT,9.21,P
USGS,03062445,2015-10-06 05:00,EDT,9.20,P
USGS,03062445,2015-10-06 05:15,EDT,9.19,P
USGS,03062445,2015-10-06 05:30,EDT,9.17,P
USGS,03062445,2015-10-06 05:45,EDT,9.17,P
USGS,03062445,2015-10-06 06:00,EDT,9.19,P
USGS,03062445,2015-10-06 06:15,EDT,9.17,P
USGS,03062445,2015-10-06 06:30,EDT,9.19,P
USGS,03062445,2015-10-06 06:45,EDT,9.21,P
USGS,03062445,2015-10-06 07:00,EDT,9.19,P
USGS,03062445,2015-10-06 07:15,EDT,9.19,P
USGS,03062445,2015-10-06 07:30,EDT,9.20,P
USGS,03062445,2015-10-06 07:45,EDT,9.19,P
USGS,03062445,2015-10-06 08:00,EDT,9.22,P
USGS,03062445,2015-10-06 08:15,EDT,9.23,P
USGS,03062445,2015-10-06 08:30,EDT,9.23,P
USGS,03062445,2015-10-06 08:45,EDT,9.25,P
USGS,03062445,2015-10-06 09:00,EDT,9.26,P
USGS,03062445,2015-10-06 09:15,EDT,9.25,P
USGS,03062445,2015-10-06 09:30,EDT,9.27,P
USGS,03062445,2015-10-06 09:45,EDT,9.29,P
USGS,03062445,2015-10-06 10:00,EDT,9.29,P
USGS,03062445,2015-10-06 10:15,EDT,9.29,P
USGS,03062445,2015-10-06 10:30,EDT,9.31,P
USGS,03062445,2015-10-06 10:45,EDT,9.31,P
USGS,03062445,2015-10-06 11:00,EDT,9.32,P
USGS,03062445,2015-10-06 11:15,EDT,9.35,P
USGS,03062445,2015-10-06 11:30,EDT,9.33,P
USGS,03062445,2015-10-06 11:45,EDT,9.31,P
USGS,03062445,2015-10-06 12:00,EDT,9.35,P
USGS,03062445,2015-10-06 12:15,EDT,9.31,P
USGS,03062445,2015-10-06 12:30,EDT,9.27,P
USGS,03062445,2015-10-06 12:45,EDT,9.33,P
USGS,03062445,2015-10-06 13:00,EDT,9.31,P
USGS,03062445,2015-10-06 13:15,EDT,9.25,P
USGS,03062445,2015-10-06 13:30,EDT,9.31,P
USGS,03062445,2015-10-06 13:45,EDT,9.27,P
USGS,03062445,2015-10-06 14:00,EDT,9.21,P
USGS,03062445,2015-10-06 14:15,EDT,9.29,P
USGS,03062445,2015-10-06 14:30,EDT,9.23,P
USGS,03062445,2015-10-06 14:45,EDT,9.19,P
USGS,03062445,2015-10-06 15:00,EDT,9.31,P
USGS,03062445,2015-10-06 15:15,EDT,9.25,P
USGS,03062445,2015-10-06 15:30,EDT,9.23,P
USGS,03062445,2015-10-06 15:45,EDT,9.33,P
USGS,03062445,2015-10-06 16:00,EDT,9.28,P
USGS,03062445,2015-10-06 16:15,EDT,9.28,P
USGS,03062445,2015-10-06 16:30,EDT,9.36,P
USGS,03062445,2015-10-06 16:45,EDT,9.33,P
USGS,03062445,2015-10-06 17:00,EDT,9.32,P
USGS,03062445,2015-10-06 17:15,EDT,9.41,P
USGS,03062445,2015-10-06 17:30,EDT,9.38,P
USGS,03062445,2015-10-06 17:45,EDT,9.37,P
USGS,03062445,2015-10-06 18:00,EDT,9.45,P
USGS,03062445,2015-10-06 18:15,EDT,9.41,P
USGS,03062445,2015-10-06 18:30,EDT,9.41,P
USGS,03062445,2015-10-06 18:45,EDT,9.49,P
USGS,03062445,2015-10-06 19:00,EDT,9.45,P
USGS,03062445,2015-10-06 19:15,EDT,9.45,P
USGS,03062445,2015-10-06 19:30,EDT,9.51,P
USGS,03062445,2015-10-06 19:45,EDT,9.47,P
USGS,03062445,2015-10-06 20:00,EDT,9.48,P
USGS,03062445,2015-10-06 20:15,EDT,9.53,P
USGS,03062445,2015-10-06 20:30,EDT,9.50,P
USGS,03062445,2015-10-06 20:45,EDT,9.51,P
USGS,03062445,2015-10-06 21:00,EDT,9.55,P
USGS,03062445,2015-10-06 21:15,EDT,9.53,P
USGS,03062445,2015-10-06 21:30,EDT,9.55,P
USGS,03062445,2015-10-06 21:45,EDT,9.58,P
USGS,03062445,2015-10-06 22:00,EDT,9.56,P
USGS,03062445,2015-10-06 22:15,EDT,9.57,P
USGS,03062445,2015-10-06 22:30,EDT,9.60,P
USGS,03062445,2015-10-06 22:45,EDT,9.59,P
USGS,03062445,2015-10-06 23:00,EDT,9.59,P
USGS,03062445,2015-10-06 23:15,EDT,9.63,P
USGS,03062445,2015-10-06 23:30,EDT,9.61,P
USGS,03062445,2015-10-06 23:45,EDT,9.63,P
USGS,03062445,2015-10-07 00:00,EDT,9.65,P
USGS,03062445,2015-10-07 00:15,EDT,9.63,P
USGS,03062445,2015-10-07 00:30,EDT,9.63,P
USGS,03062445,2015-10-07 00:45,EDT,9.65,P
USGS,03062445,2015-10-07 01:00,EDT,9.59,P
USGS,03062445,2015-10-07 01:15,EDT,9.61,P
USGS,03062445,2015-10-07 01:30,EDT,9.61,P
USGS,03062445,2015-10-07 01:45,EDT,9.57,P
USGS,03062445,2015-10-07 02:00,EDT,9.59,P
USGS,03062445,2015-10-07 02:15,EDT,9.57,P
USGS,03062445,2015-10-07 02:30,EDT,9.55,P
USGS,03062445,2015-10-07 02:45,EDT,9.56,P
USGS,03062445,2015-10-07 03:00,EDT,9.55,P
USGS,03062445,2015-10-07 03:15,EDT,9.53,P
USGS,03062445,2015-10-07 03:30,EDT,9.53,P
USGS,03062445,2015-10-07 03:45,EDT,9.53,P
USGS,03062445,2015-10-07 04:00,EDT,9.51,P
USGS,03062445,2015-10-07 04:15,EDT,9.50,P
USGS,03062445,2015-10-07 04:30,EDT,9.50,P
USGS,03062445,2015-10-07 04:45,EDT,9.49,P
USGS,03062445,2015-10-07 05:00,EDT,9.48,P
USGS,03062445,2015-10-07 05:15,EDT,9.48,P
USGS,03062445,2015-10-07 05:30,EDT,9.47,P
USGS,03062445,2015-10-07 05:45,EDT,9.47,P
USGS,03062445,2015-10-07 06:00,EDT,9.47,P
USGS,03062445,2015-10-07 06:15,EDT,9.45,P
USGS,03062445,2015-10-07 06:30,EDT,9.45,P
USGS,03062445,2015-10-07 06:45,EDT,9.45,P
USGS,03062445,2015-10-07 07:00,EDT,9.43,P
USGS,03062445,2015-10-07 07:15,EDT,9.44,P
USGS,03062445,2015-10-07 07:30,EDT,9.45,P
USGS,03062445,2015-10-07 07:45,EDT,9.43,P
USGS,03062445,2015-10-07 08:00,EDT,9.43,P
USGS,03062445,2015-10-07 08:15,EDT,9.43,P
USGS,03062445,2015-10-07 08:30,EDT,9.42,P
USGS,03062445,2015-10-07 08:45,EDT,9.42,P
USGS,03062445,2015-10-07 09:00,EDT,9.42,P
USGS,03062445,2015-10-07 09:15,EDT,9.41,P
USGS,03062445,2015-10-07 09:30,EDT,9.41,P
USGS,03062445,2015-10-07 09:45,EDT,9.41,P
USGS,03062445,2015-10-07 10:00,EDT,9.40,P
USGS,03062445,2015-10-07 10:15,EDT,9.41,P
USGS,03062445,2015-10-07 10:30,EDT,9.40,P
USGS,03062445,2015-10-07 10:45,EDT,9.39,P
USGS,03062445,2015-10-07 11:00,EDT,9.39,P
USGS,03062445,2015-10-07 11:15,EDT,9.39,P
USGS,03062445,2015-10-07 11:30,EDT,9.39,P
USGS,03062445,2015-10-07 11:45,EDT,9.31,P
USGS,03062445,2015-10-07 12:00,EDT,9.40,P
USGS,03062445,2015-10-07 12:15,EDT,9.36,P
USGS,03062445,2015-10-07 12:30,EDT,9.23,P
USGS,03062445,2015-10-07 12:45,EDT,9.44,P
USGS,03062445,2015-10-07 13:00,EDT,9.35,P
USGS,03062445,2015-10-07 13:15,EDT,9.27,P
USGS,03062445,2015-10-07 13:30,EDT,9.47,P
USGS,03062445,2015-10-07 13:45,EDT,9.38,P
USGS,03062445,2015-10-07 14:00,EDT,9.37,P
USGS,03062445,2015-10-07 14:15,EDT,9.49,P
USGS,03062445,2015-10-07 14:30,EDT,9.37,P
USGS,03062445,2015-10-07 14:45,EDT,9.42,P
USGS,03062445,2015-10-07 15:00,EDT,9.47,P
USGS,03062445,2015-10-07 15:15,EDT,9.42,P
USGS,03062445,2015-10-07 15:30,EDT,9.47,P
USGS,03062445,2015-10-07 15:45,EDT,9.47,P
USGS,03062445,2015-10-07 16:00,EDT,9.47,P
USGS,03062445,2015-10-07 16:15,EDT,9.47,P
USGS,03062445,2015-10-07 16:30,EDT,9.47,P
USGS,03062445,2015-10-07 16:45,EDT,9.49,P
USGS,03062445,2015-10-07 17:00,EDT,9.46,P
USGS,03062445,2015-10-07 17:15,EDT,9.51,P
USGS,03062445,2015-10-07 17:30,EDT,9.50,P
USGS,03062445,2015-10-07 17:45,EDT,9.47,P
USGS,03062445,2015-10-07 18:00,EDT,9.53,P
USGS,03062445,2015-10-07 18:15,EDT,9.51,P
USGS,03062445,2015-10-07 18:30,EDT,9.49,P
USGS,03062445,2015-10-07 18:45,EDT,9.55,P
USGS,03062445,2015-10-07 19:00,EDT,9.51,P
USGS,03062445,2015-10-07 19:15,EDT,9.51,P
USGS,03062445,2015-10-07 19:30,EDT,9.55,P
USGS,03062445,2015-10-07 19:45,EDT,9.52,P
USGS,03062445,2015-10-07 20:00,EDT,9.55,P
USGS,03062445,2015-10-07 20:15,EDT,9.55,P
USGS,03062445,2015-10-07 20:30,EDT,9.55,P
USGS,03062445,2015-10-07 20:45,EDT,9.56,P
USGS,03062445,2015-10-07 21:00,EDT,9.57,P
USGS,03062445,2015-10-07 21:15,EDT,9.57,P
USGS,03062445,2015-10-07 21:30,EDT,9.57,P
USGS,03062445,2015-10-07 21:45,EDT,9.59,P
USGS,03062445,2015-10-07 22:00,EDT,9.57,P
USGS,03062445,2015-10-07 22:15,EDT,9.57,P
USGS,03062445,2015-10-07 22:30,EDT,9.59,P
USGS,03062445,2015-10-07 22:45,EDT,9.57,P
USGS,03062445,2015-10-07 23:00,EDT,9.57,P
USGS,03062445,2015-10-07 23:15,EDT,9.59,P
USGS,03062445,2015-10-07 23:30,EDT,9.57,P
