Date,TimeEDT,Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
10/5/15,12:53 AM,54.0 °F,,43.0 °F,66%,30.16 in,10.0 mi,NE,4.6 mph,-,N/A,,Clear
10/5/15,1:53 AM,54.0 °F,,42.1 °F,64%,30.15 in,10.0 mi,NE,6.9 mph,-,N/A,,Clear
10/5/15,2:53 AM,53.1 °F,,42.1 °F,66%,30.16 in,10.0 mi,NNE,4.6 mph,-,N/A,,Clear
10/5/15,3:53 AM,52.0 °F,,41.0 °F,66%,30.15 in,10.0 mi,NE,4.6 mph,-,N/A,,Clear
10/5/15,4:53 AM,53.1 °F,,39.9 °F,61%,30.16 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
10/5/15,5:53 AM,51.1 °F,,39.9 °F,66%,30.16 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/5/15,6:53 AM,52.0 °F,,39.9 °F,63%,30.15 in,10.0 mi,East,3.5 mph,-,N/A,,Clear
10/5/15,7:53 AM,52.0 °F,,41.0 °F,66%,30.16 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/5/15,8:53 AM,55.9 °F,,42.1 °F,60%,30.17 in,10.0 mi,Calm,Calm,-,N/A,,Clear
10/5/15,9:53 AM,59.0 °F,,43.0 °F,55%,30.17 in,10.0 mi,North,4.6 mph,-,N/A,,Clear
10/5/15,10:53 AM,62.1 °F,,43.0 °F,50%,30.17 in,10.0 mi,North,-,-,N/A,,Clear
10/5/15,11:53 AM,66.0 °F,,41.0 °F,40%,30.15 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
10/5/15,12:53 PM,70.0 °F,,42.1 °F,36%,30.14 in,10.0 mi,North,-,-,N/A,,Clear
10/5/15,1:53 PM,72.0 °F,,43.0 °F,35%,30.12 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
10/5/15,2:53 PM,73.0 °F,,44.1 °F,35%,30.09 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
10/5/15,3:53 PM,75.0 °F,,44.1 °F,33%,30.08 in,10.0 mi,WNW,4.6 mph,-,N/A,,Clear
10/5/15,4:53 PM,73.9 °F,,45.0 °F,35%,30.07 in,10.0 mi,North,6.9 mph,-,N/A,,Clear
10/5/15,5:53 PM,72.0 °F,,45.0 °F,38%,30.08 in,10.0 mi,North,6.9 mph,-,N/A,,Clear
10/5/15,6:53 PM,66.9 °F,,44.1 °F,44%,30.09 in,10.0 mi,North,6.9 mph,-,N/A,,Clear
10/5/15,7:53 PM,64.0 °F,,44.1 °F,48%,30.10 in,10.0 mi,North,5.8 mph,-,N/A,,Clear
10/5/15,8:53 PM,62.1 °F,,45.0 °F,53%,30.11 in,10.0 mi,NE,3.5 mph,-,N/A,,Clear
10/5/15,9:53 PM,60.1 °F,,42.1 °F,51%,30.11 in,10.0 mi,East,3.5 mph,-,N/A,,Clear
10/5/15,10:53 PM,59.0 °F,,43.0 °F,55%,30.12 in,10.0 mi,ENE,3.5 mph,-,N/A,,Clear
10/5/15,11:53 PM,57.9 °F,,43.0 °F,58%,30.12 in,10.0 mi,ESE,3.5 mph,-,N/A,,Clear
10/6/15,12:53 AM,55.9 °F,,43.0 °F,62%,30.10 in,10.0 mi,Calm,Calm,-,N/A,,Clear
